code,name,1,2,3,4,5,6,7,8,9,10,mean,sdev,type
E07000135,Oadby and Wigston,0,0,13.89,5.56,5.56,8.33,11.11,8.33,36.11,11.11,6.7222,2.3798,right
E07000136,Boston,2.78,8.33,27.78,19.44,5.56,13.89,8.33,11.11,2.78,0,4.1389,2.0997,nshape
E07000137,East Lindsey,16.05,19.75,16.05,17.28,6.17,6.17,9.88,3.7,4.94,0,3.3395,2.337,left
E07000138,Lincoln,17.54,15.79,12.28,8.77,8.77,10.53,10.53,10.53,5.26,0,3.8333,2.6072,left
E07000139,North Kesteven,0,0,4.69,7.81,7.81,7.81,10.94,20.31,25,15.63,7.0156,2.0625,right
E07000140,South Holland,0,2.04,6.12,22.45,16.33,22.45,14.29,8.16,8.16,0,5.1735,1.7605,nshape
E07000141,South Kesteven,1.23,2.47,4.94,8.64,4.94,12.35,14.81,12.35,18.52,19.75,6.7099,2.3702,right
E07000142,West Lindsey,7.69,9.62,5.77,9.62,13.46,13.46,11.54,7.69,15.38,5.77,5.1923,2.6974,flat
E07000143,Breckland,1.28,7.69,11.54,6.41,24.36,23.08,11.54,10.26,3.85,0,4.8462,1.8921,nshape
E07000144,Broadland,0,0,0,4.76,11.9,14.29,16.67,17.86,21.43,13.1,6.9762,1.7526,right
E07000145,Great Yarmouth,24.59,13.11,14.75,9.84,11.48,16.39,4.92,1.64,3.28,0,3.1721,2.271,left
E07000146,King's Lynn and West Norfolk,7.87,6.74,15.73,19.1,22.47,13.48,5.62,2.25,4.49,2.25,4.0843,2.0987,nshape
E07000147,North Norfolk,0,3.23,14.52,25.81,25.81,20.97,6.45,1.61,1.61,0,4.3065,1.4123,nshape
E07000148,Norwich,20.48,19.28,9.64,18.07,2.41,7.23,3.61,7.23,3.61,8.43,3.6566,2.9196,left
E07000149,South Norfolk,0,0,0,9.88,12.35,18.52,23.46,16.05,9.88,9.88,6.4259,1.7448,right
E07000150,Corby,9.76,19.51,24.39,4.88,14.63,4.88,7.32,9.76,4.88,0,3.6707,2.4073,left
E07000151,Daventry,2.27,0,4.55,6.82,2.27,18.18,15.91,18.18,22.73,9.09,6.6591,2.1014,right
E07000152,East Northamptonshire,0,4.08,12.24,2.04,4.08,20.41,8.16,20.41,10.2,18.37,6.4184,2.431,right
E07000153,Kettering,7.02,3.51,12.28,7.02,8.77,12.28,8.77,15.79,17.54,7.02,5.6228,2.7063,flat
E07000154,Northampton,9.02,14.29,14.29,8.27,10.53,8.27,9.02,13.53,8.27,4.51,4.5677,2.7474,flat
E07000155,South Northamptonshire,0,0,0,0,1.96,3.92,11.76,19.61,21.57,41.18,8.2843,1.3163,right
E07000156,Wellingborough,6.38,14.89,12.77,14.89,2.13,4.26,21.28,10.64,6.38,6.38,4.7553,2.7542,flat
E07000163,Craven,0,6.25,0,3.13,6.25,28.13,9.38,18.75,15.63,12.5,6.5625,2.1089,right
E07000164,Hambleton,0,0,3.85,3.85,9.62,11.54,21.15,17.31,11.54,21.15,6.9615,1.965,right
E07000165,Harrogate,0.96,0,0.96,1.92,5.77,14.42,20.19,15.38,11.54,28.85,7.3365,1.8959,right
E07000166,Richmondshire,0,0,2.94,0,2.94,23.53,20.59,26.47,20.59,2.94,6.8529,1.454,right
E07000167,Ryedale,0,0,0,13.33,33.33,20,10,6.67,13.33,3.33,5.6667,1.7436,nshape
E07000168,Scarborough,12.68,15.49,9.86,12.68,18.31,7.04,8.45,9.86,4.23,1.41,3.9789,2.4661,left
E07000169,Selby,2,0,6,4,10,14,8,16,24,16,6.8,2.27,right
E07000170,Ashfield,16.22,12.16,9.46,18.92,12.16,13.51,6.76,4.05,5.41,1.35,3.7838,2.4073,left
E07000171,Bassetlaw,7.14,14.29,15.71,7.14,11.43,12.86,11.43,12.86,7.14,0,4.4286,2.4691,nshape
E07000172,Broxtowe,0,5.63,2.82,11.27,11.27,11.27,12.68,9.86,19.72,15.49,6.3873,2.4056,right
E07000173,Gedling,1.3,1.3,10.39,10.39,9.09,11.69,11.69,16.88,12.99,14.29,6.1883,2.413,right
E07000174,Mansfield,14.93,25.37,13.43,8.96,4.48,8.96,4.48,10.45,5.97,2.99,3.6642,2.7612,left
E07000175,Newark and Sherwood,4.29,10,8.57,8.57,12.86,15.71,10,14.29,7.14,8.57,5.2714,2.5773,nshape
E07000176,Rushcliffe,0,0,0,2.94,2.94,2.94,10.29,11.76,19.12,50,8.3235,1.5829,right
E07000177,Cherwell,0,6.45,4.3,6.45,7.53,11.83,21.51,11.83,20.43,9.68,6.3602,2.2679,right
E07000178,Oxford,1.2,10.84,8.43,7.23,7.23,18.07,8.43,13.25,10.84,14.46,5.7892,2.6574,flat
E07000179,South Oxfordshire,0,0,0,2.25,6.74,6.74,11.24,8.99,23.6,40.45,8.0056,1.7263,right
E07000180,Vale of White Horse,0,1.32,0,0,1.32,6.58,14.47,17.11,22.37,36.84,8.0658,1.5521,right
E07000181,West Oxfordshire,0,0,0,6.06,1.52,7.58,4.55,18.18,28.79,33.33,7.9697,1.7027,right
E07000187,Mendip,1.52,1.52,4.55,15.15,16.67,21.21,19.7,6.06,7.58,6.06,5.5455,1.9879,nshape
E07000188,Sedgemoor,5.71,12.86,4.29,15.71,12.86,12.86,15.71,12.86,1.43,5.71,4.8143,2.4409,nshape
E07000189,South Somerset,0.97,4.85,5.83,11.65,20.39,16.5,16.5,13.59,4.85,4.85,5.4223,2.0422,nshape
E07000192,Cannock Chase,3.33,11.67,16.67,8.33,16.67,10,11.67,10,8.33,3.33,4.7333,2.452,nshape
E07000193,East Staffordshire,4.17,13.89,8.33,9.72,5.56,13.89,6.94,15.28,8.33,13.89,5.4167,2.8668,flat
E07000194,Lichfield,0,3.45,5.17,1.72,10.34,12.07,13.79,20.69,13.79,18.97,6.7931,2.2005,right
E07000195,Newcastle-under-Lyme,2.5,8.75,12.5,15,7.5,13.75,12.5,8.75,13.75,5,5.1875,2.5137,nshape
E07000196,South Staffordshire,0,0,7.35,7.35,5.88,13.24,19.12,20.59,14.71,11.76,6.5882,2.0277,right
E07000197,Stafford,0,5,7.5,6.25,7.5,8.75,15,13.75,17.5,18.75,6.575,2.4483,right
E07000198,Staffordshire Moorlands,0,3.39,10.17,11.86,5.08,10.17,16.95,15.25,23.73,3.39,6.0932,2.2752,right
E07000199,Tamworth,7.84,11.76,1.96,17.65,11.76,13.73,11.76,9.8,9.8,3.92,4.8725,2.5687,nshape
E07000200,Babergh,0,0,9.26,9.26,5.56,22.22,16.67,16.67,11.11,9.26,6.1852,2.045,nshape
E07000202,Ipswich,14.12,18.82,12.94,4.71,10.59,10.59,11.76,5.88,9.41,1.18,4.0176,2.6975,left
E07000203,Mid Suffolk,0,1.79,1.79,0,10.71,28.57,17.86,16.07,12.5,10.71,6.5714,1.7669,right
E07000207,Elmbridge,0,0,1.23,4.94,1.23,8.64,3.7,9.88,19.75,50.62,8.2037,1.8333,right
E07000208,Epsom and Ewell,0,0,2.27,4.55,0,4.55,9.09,11.36,18.18,50,8.2045,1.8246,right
E07000209,Guildford,0,2.38,1.19,2.38,7.14,8.33,11.9,10.71,13.1,42.86,7.6905,2.1198,right
E07000210,Mole Valley,0,0,1.85,1.85,5.56,9.26,9.26,16.67,20.37,35.19,7.7963,1.8185,right
E07000211,Reigate and Banstead,0,1.16,3.49,6.98,5.81,9.3,11.63,13.95,22.09,25.58,7.2326,2.1553,right
E07000212,Runnymede,0,0,3.85,5.77,11.54,11.54,15.38,19.23,19.23,13.46,6.8077,1.9658,right
E07000213,Spelthorne,0,0,5,18.33,8.33,15,15,16.67,15,6.67,6.1,2.0519,nshape
E07000214,Surrey Heath,0,0,0,5.45,5.45,5.45,1.82,9.09,25.45,47.27,8.1909,1.8245,right
E07000215,Tandridge,0,0,0,10,10,8,18,26,14,14,6.88,1.8394,right
E07000216,Waverley,0,0,2.44,1.22,1.22,4.88,9.76,15.85,17.07,47.56,8.2195,1.6724,right
E07000217,Woking,0,1.64,1.64,4.92,13.11,1.64,9.84,11.48,29.51,26.23,7.418,2.1315,right
E07000218,North Warwickshire,2.63,2.63,7.89,13.16,18.42,10.53,26.32,10.53,7.89,0,5.2895,1.9886,nshape
E07000219,Nuneaton and Bedworth,6.17,14.81,16.05,14.81,7.41,12.35,7.41,7.41,4.94,8.64,4.463,2.69,flat
E07000220,Rugby,0,3.28,8.2,6.56,9.84,16.39,8.2,13.11,18.03,16.39,6.4344,2.3866,right
E07000221,Stratford-on-Avon,0,0,1.37,4.11,5.48,17.81,19.18,27.4,13.7,10.96,6.911,1.6316,right
E07000222,Warwick,0,1.16,4.65,3.49,12.79,8.14,12.79,17.44,19.77,19.77,6.9767,2.124,right
E07000223,Adur,0,2.38,21.43,7.14,7.14,21.43,19.05,4.76,9.52,7.14,5.4048,2.2719,nshape
E07000224,Arun,4.26,6.38,8.51,9.57,12.77,19.15,14.89,11.7,9.57,3.19,5.2553,2.3126,nshape
E07000225,Chichester,0,0,4.23,4.23,19.72,19.72,22.54,7.04,12.68,9.86,6.2324,1.8667,nshape
E07000226,Crawley,1.52,1.52,10.61,27.27,18.18,13.64,7.58,3.03,12.12,4.55,5,2.1644,nshape
E07000227,Horsham,0,0,1.23,2.47,4.94,14.81,9.88,16.05,16.05,34.57,7.6481,1.8447,right
E07000228,Mid Sussex,0,0,1.16,1.16,3.49,8.14,3.49,11.63,24.42,46.51,8.2674,1.6426,right
E07000229,Worthing,0,7.69,7.69,7.69,18.46,12.31,9.23,15.38,9.23,12.31,5.7923,2.4349,nshape
E07000234,Bromsgrove,0,1.72,5.17,5.17,13.79,0,17.24,8.62,17.24,31.03,7.1379,2.3523,right
E07000235,Malvern Hills,2.22,2.22,6.67,2.22,20,17.78,11.11,24.44,11.11,2.22,5.8778,2.0482,nshape
E07000236,Redditch,9.09,16.36,12.73,3.64,9.09,12.73,7.27,7.27,16.36,5.45,4.7727,2.9342,flat
E07000237,Worcester,12.7,6.35,7.94,4.76,15.87,6.35,7.94,15.87,11.11,11.11,5.2937,2.9739,flat
E07000238,Wychavon,0,5.13,3.85,11.54,14.1,16.67,16.67,7.69,14.1,10.26,5.9615,2.2372,nshape
E07000239,Wyre Forest,6.15,13.85,10.77,10.77,9.23,13.85,3.08,18.46,10.77,3.08,4.8538,2.6776,flat
E07000240,St Albans,0,0,1.15,2.3,8.05,5.75,8.05,9.2,21.84,43.68,8.0057,1.8544,right
E07000241,Welwyn Hatfield,0,1.49,5.97,13.43,5.97,20.9,13.43,7.46,13.43,17.91,6.3358,2.2936,right
E07000242,East Hertfordshire,0,0,1.19,3.57,0,10.71,9.52,10.71,21.43,42.86,8.0595,1.7449,right
E07000243,Stevenage,0,3.85,9.62,23.08,23.08,19.23,13.46,1.92,3.85,1.92,4.7308,1.722,nshape
E07000244,Suffolk Coastal,0,2.74,5.48,8.22,15.07,13.7,9.59,9.59,17.81,17.81,6.4452,2.3505,right
E07000244,Waveney,13.7,10.96,8.22,19.18,17.81,9.59,4.11,8.22,5.48,2.74,4.0479,2.4779,nshape
E07000245,Forest Heath,0,0,8.82,14.71,20.59,20.59,14.71,17.65,2.94,0,5.3235,1.6601,nshape
E07000245,St Edmundsbury,0,1.52,10.61,9.09,12.12,19.7,10.61,13.64,13.64,9.09,5.9697,2.2064,nshape
E07000246,Taunton Deane,4.48,7.46,2.99,5.97,19.4,20.9,8.96,8.96,13.43,7.46,5.5448,2.4398,nshape
E07000246,West Somerset,0,0,38.1,38.1,14.29,9.52,0,0,0,0,3.4524,0.9735,nshape
E08000001,Bolton,23.73,18.64,11.3,5.08,7.34,5.65,9.04,5.65,9.04,4.52,3.709,2.9841,left
E08000002,Bury,10,12.5,13.33,8.33,8.33,11.67,8.33,11.67,8.33,7.5,4.7167,2.8408,flat
E08000003,Manchester,43.26,15.96,15.25,10.64,4.96,5.67,2.48,1.42,0.35,0,2.0426,1.8406,left
E08000004,Oldham,30.5,15.6,8.51,7.8,6.38,7.09,7.8,9.93,6.38,0,3.344,2.7782,left
E08000005,Rochdale,29.85,14.18,17.91,8.21,6.72,3.73,5.97,8.96,4.48,0,3.0448,2.5653,left
E08000006,Salford,30,18.67,8.67,12.67,7.33,8,3.33,4,4,3.33,3.0333,2.6258,left
E08000007,Stockport,8.95,7.37,8.42,11.58,9.47,5.79,13.16,8.42,13.16,13.68,5.4211,2.9348,flat
E08000008,Tameside,20.57,21.99,12.06,10.64,12.06,8.51,7.09,4.96,1.42,0.71,3.1383,2.2937,left
E08000009,Trafford,5.07,3.62,8.7,7.25,9.42,5.8,10.14,15.22,12.32,22.46,6.2754,2.8078,right
E08000010,Wigan,16.5,16,10.5,6.5,8,6.5,7,12,11.5,5.5,4.385,3.0394,ushape
E08000011,Knowsley,46.94,16.33,6.12,8.16,14.29,4.08,3.06,1.02,0,0,2.0612,1.9107,left
E08000012,Liverpool,48.66,14.09,9.73,5.37,6.04,4.36,4.36,6.04,1.01,0.34,2.2517,2.3381,left
E08000013,St. Helens,24.37,17.65,11.76,9.24,6.72,6.72,6.72,8.4,8.4,0,3.458,2.7321,left
E08000014,Sefton,20.11,11.11,7.41,7.41,11.11,10.05,12.17,8.47,8.47,3.7,4.2619,2.8642,flat
E08000015,Wirral,25.24,9.71,8.25,8.25,5.83,10.19,9.22,9.71,7.28,6.31,4.1359,3.0537,ushape
E08000016,Barnsley,21.77,17.69,14.97,9.52,10.2,8.16,4.76,8.16,4.08,0.68,3.3231,2.5012,left
E08000017,Doncaster,23.71,16.49,11.86,9.79,7.22,9.79,8.25,6.19,5.15,1.55,3.4536,2.6434,left
E08000018,Rotherham,21.56,13.77,13.17,9.58,6.59,10.18,13.17,5.99,5.99,0,3.6497,2.599,left
E08000019,Sheffield,23.77,10.43,7.54,6.38,8.99,8.99,7.54,7.83,8.7,9.86,4.3377,3.1719,ushape
E08000021,Newcastle upon Tyne,25.71,13.71,7.43,7.43,8,7.43,6.29,6.86,7.43,9.71,4.0257,3.1801,ushape
E08000022,North Tyneside,9.16,11.45,16.79,10.69,5.34,3.05,11.45,7.63,10.69,13.74,4.9504,3.0765,ushape
E08000023,South Tyneside,24.51,20.59,16.67,9.8,6.86,1.96,3.92,5.88,8.82,0.98,3.1471,2.6724,left
E08000024,Sunderland,22.7,17.84,12.97,11.89,8.65,4.86,8.11,8.65,3.78,0.54,3.327,2.535,left
E08000025,Birmingham,41.31,15.02,10.64,11.27,8.76,3.91,3.6,2.35,1.88,1.25,2.3905,2.2509,left
E08000026,Coventry,14.36,11.28,14.36,9.74,11.79,10.77,9.74,7.69,5.64,4.62,4.1923,2.6782,flat
E08000027,Dudley,10.95,14.93,12.94,10.45,10.45,3.98,7.96,9.95,8.96,9.45,4.5796,2.9671,flat
E08000028,Sandwell,19.89,40.32,13.98,6.45,6.45,10.22,2.15,0.54,0,0,2.3118,1.7028,left
E08000029,Solihull,11.94,4.48,7.46,2.24,8.21,11.19,5.97,9.7,11.19,27.61,6.0672,3.1894,ushape
E08000030,Walsall,26.35,23.35,8.98,6.59,7.19,4.19,6.59,4.79,8.38,3.59,3.3323,2.8992,left
E08000031,Wolverhampton,20.89,28.48,10.76,9.49,6.96,5.7,8.23,6.96,1.9,0.63,3.038,2.4092,left
E08000032,Bradford,33.55,13.55,14.19,7.1,5.81,6.13,5.81,5.16,3.55,5.16,3.129,2.8263,left
E08000033,Calderdale,15.63,14.84,10.16,11.72,7.81,14.06,14.06,5.47,3.13,3.13,3.9766,2.5717,left
E08000034,Kirklees,11.97,18.15,12.36,8.88,10.04,7.34,8.49,11.97,6.95,3.86,4.2143,2.7653,flat
E08000035,Leeds,23.65,9.96,8.71,4.36,9.34,8.3,11.62,8.71,8.51,6.85,4.2967,3.075,ushape
E08000036,Wakefield,15.79,18.18,11.48,12.92,11,5.26,6.7,9.57,5.74,3.35,3.8349,2.6984,left
E08000037,Gateshead,16.67,15.08,19.84,8.73,10.32,4.76,7.14,7.14,6.35,3.97,3.754,2.7186,left
E09000001,City of London,0,0,16.67,0,16.67,16.67,16.67,0,16.67,16.67,6.1667,2.582,right
E09000002,Barking and Dagenham,3.64,50.91,28.18,9.09,7.27,0.91,0,0,0,0,2.1818,1.0131,left
E09000003,Barnet,0.47,2.84,11.37,8.06,10.43,14.22,16.11,17.06,15.17,4.27,5.8839,2.1886,nshape
E09000004,Bexley,0,6.16,9.59,8.9,13.01,8.22,11.64,13.01,20.55,8.9,6.0068,2.4558,right
E09000005,Brent,5.78,13.29,17.34,21.97,19.65,12.72,4.62,4.62,0,0,3.6618,1.7545,nshape
E09000006,Bromley,0.51,6.09,5.58,7.61,7.11,6.6,13.2,14.21,21.32,17.77,6.6066,2.4998,right
E09000007,Camden,0,16.54,11.28,14.29,10.53,15.04,7.52,8.27,10.53,6.02,4.906,2.5197,nshape
E09000008,Croydon,2.27,15.45,16.36,12.73,15,8.64,9.09,8.64,8.64,3.18,4.5227,2.4429,nshape
E09000009,Ealing,2.04,14.8,14.8,18.37,11.22,15.82,11.22,5.61,5.61,0.51,4.2959,2.1338,nshape
E09000010,Enfield,5.46,24.59,17.49,11.48,7.65,9.84,6.56,10.93,5.46,0.55,3.8825,2.4306,left
E09000011,Greenwich,0.66,21.19,19.21,16.56,15.89,9.93,8.61,5.96,1.99,0,3.8179,1.9506,nshape
E09000012,Hackney,11.11,32.64,36.81,11.81,5.56,2.08,0,0,0,0,2.2431,1.1141,left
E09000013,Hammersmith and Fulham,0.88,16.81,14.16,15.04,15.04,13.27,11.5,9.73,3.54,0,4.323,2.1011,nshape
E09000014,Haringey,9.66,23.45,18.62,15.17,8.97,9.66,4.83,6.21,3.45,0,3.4034,2.1868,left
E09000015,Harrow,0,1.46,7.3,5.11,17.52,16.79,18.98,13.87,11.68,7.3,6.0547,1.9886,nshape
E09000016,Havering,0.67,6,8.67,8.67,13.33,12,14,12.67,16.67,7.33,5.8467,2.3715,nshape
E09000017,Hillingdon,0,4.35,16.15,14.91,14.91,9.32,7.45,11.18,15.53,6.21,5.4068,2.4156,nshape
E09000018,Hounslow,0.7,7.75,14.79,22.54,18.31,19.72,9.15,5.63,0.7,0.7,4.331,1.7258,nshape
E09000019,Islington,4.88,21.14,29.27,17.89,10.57,9.76,5.69,0.81,0,0,3.1423,1.6151,left
E09000020,Kensington and Chelsea,8.74,13.59,6.8,9.71,11.65,10.68,11.65,22.33,4.85,0,4.7136,2.523,nshape
E09000021,Kingston upon Thames,0,1.02,2.04,1.02,7.14,14.29,19.39,16.33,25.51,13.27,7.1224,1.7675,right
E09000022,Lambeth,0,20.22,24.16,23.03,15.73,10.11,3.93,2.25,0.56,0,3.4494,1.5741,left
E09000023,Lewisham,2.96,23.08,24.85,18.93,12.43,11.24,4.73,1.78,0,0,3.2633,1.6376,left
E09000024,Merton,0,2.42,9.68,12.1,4.03,12.1,14.52,12.1,15.32,17.74,6.3871,2.4268,right
E09000025,Newham,2.44,24.39,45.73,19.51,6.1,1.22,0,0.61,0,0,2.5915,1.0201,left
E09000026,Redbridge,0,3.11,7.45,12.42,16.77,24.22,13.04,10.56,8.7,3.73,5.4876,1.9461,nshape
E09000027,Richmond upon Thames,0,0.87,1.74,2.61,6.09,3.48,12.17,7.83,36.52,28.7,7.8217,1.8475,right
E09000028,Southwark,3.01,19.88,28.92,15.66,9.04,11.45,3.61,5.42,2.41,0.6,3.5241,1.9846,left
E09000029,Sutton,0.83,4.96,6.61,5.79,5.79,9.09,16.53,15.7,15.7,19.01,6.5992,2.4441,right
E09000030,Tower Hamlets,1.39,30.56,27.78,16.67,7.64,4.17,5.56,3.47,2.08,0.69,3.1806,1.902,left
E09000031,Waltham Forest,2.08,13.89,21.53,27.78,15.28,13.19,4.17,1.39,0.69,0,3.5764,1.5559,left
E09000032,Wandsworth,0,4.47,8.94,10.06,13.41,17.32,15.08,12.85,12.85,5.03,5.7123,2.1593,nshape
E09000033,Westminster,2.34,11.72,14.84,12.5,10.16,10.94,7.81,16.41,10.16,3.13,4.9531,2.5094,nshape